Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
84978.4234958,317178.59375,346501.84375,339990.0,318215.09375,324888.0,312053.15625,315985.375,283188.84375,0.0146484375,0.787353515625,-0.52734375,20.019529342651367,-8.117674827575684,-1.1901854276657104,100.0,232438.0,1.0
84978.4235133,317157.40625,344862.75,338605.78125,317065.5,322577.1875,310941.21875,314911.59375,282385.15625,0.007080078125,0.8095703125,-0.564453125,20.568845748901367,-8.697508811950684,-1.2512205839157104,100.0,232439.0,1.0
84978.423516,317011.3125,343513.53125,337640.0,316136.03125,320277.28125,310337.71875,313986.40625,281830.5625,0.010009765625,0.890625,-0.572998046875,23.101804733276367,-9.246825218200684,-1.3427733182907104,100.0,232440.0,1.0
84978.4235182,317061.65625,344431.90625,338523.8125,316787.96875,321178.125,311149.71875,314592.5,282369.59375,-0.007080078125,0.884765625,-0.54443359375,19.531248092651367,-9.704588890075684,-0.8239745497703552,100.0,232441.0,1.0
84978.4235205,317265.25,346474.75,340112.90625,318197.03125,324156.5625,312321.03125,316012.375,283329.21875,-0.02099609375,0.848388671875,-0.5205078125,16.632078170776367,-9.521483421325684,0.8544921278953552,100.0,232442.0,1.0
84978.4235227,317362.0625,346830.34375,340188.03125,318380.84375,325033.53125,312210.0625,316275.21875,283361.21875,-0.0322265625,0.831787109375,-0.497314453125,14.892577171325684,-8.636473655700684,1.6479490995407104,100.0,232443.0,1.0
84978.4235251,317201.5,345090.75,338683.125,317108.6875,322648.4375,310986.625,315063.3125,282430.5,-0.052734375,0.8173828125,-0.493896484375,13.366698265075684,-8.270262718200684,0.9460448622703552,100.0,232444.0,1.0
84978.4259302,316977.0625,343650.125,337646.71875,316104.71875,320288.71875,310325.03125,314047.21875,281808.40625,-0.066162109375,0.818115234375,-0.494140625,13.702391624450684,-9.216307640075684,-0.3967284858226776,100.0,232445.0,1.0
84978.4320858,317005.96875,344450.6875,338490.0,316731.46875,321135.03125,311098.125,314572.65625,282326.34375,-0.059814453125,0.838134765625,-0.496337890625,14.312743186950684,-11.016844749450684,-1.1596678495407104,100.0,232446.0,1.0
84978.4321018,317237.25,346366.125,340079.65625,318162.875,324132.9375,312278.125,315939.78125,283299.6875,-0.044921875,0.86572265625,-0.508056640625,14.129637718200684,-13.214110374450684,-0.9765624403953552,100.0,232447.0,1.0
84978.4321048,317315.46875,346643.9375,340143.5,318338.9375,325034.625,312155.0,316172.25,283306.84375,-0.03466796875,0.8798828125,-0.526611328125,13.641356468200684,-15.838622093200684,-0.6408690810203552,100.0,232448.0,1.0
84978.4321073,317175.375,344967.0,338663.28125,317100.90625,322702.15625,310957.5625,315000.125,282405.71875,0.010009765625,0.89501953125,-0.546630859375,12.207030296325684,-19.683835983276367,-1.0681151151657104,100.0,232449.0,1.0
